1000 1000
121 532 173
889 533 188
964 534 939
745 535 176
978 536 139
612 537 51
349 538 787
797 539 595
969 540 965
590 541 32
812 542 548
927 543 926
375 544 328
926 545 412
502 546 263
622 547 944
186 548 819
43 549 846
526 550 474
810 551 369
350 552 380
754 553 985
370 554 320
10 555 127
12 556 827
744 557 697
492 558 108
59 559 633
989 560 651
874 561 906
580 562 619
478 563 434
411 564 126
575 565 666
341 566 950
351 567 945
508 568 194
718 569 92
458 570 432
35 571 798
900 572 890
385 573 829
217 574 655
216 575 703
704 576 299
765 577 309
673 578 733
879 579 78
437 580 56
597 581 963
746 582 520
510 583 439
866 584 441
919 585 25
640 586 190
618 587 555
139 588 391
910 589 216
138 590 17
22 591 816
584 592 25
769 593 492
27 594 905
666 595 314
99 596 928
125 597 133
545 598 937
684 599 400
593 600 962
661 601 315
808 602 774
791 603 815
257 604 949
788 605 96
430 606 46
402 607 634
839 608 741
46 609 66
730 610 220
75 611 784
208 612 328
689 613 279
946 614 48
248 615 690
152 616 966
854 617 921
199 618 873
576 619 887
717 620 732
491 621 123
478 622 491
927 623 769
131 624 181
665 625 388
751 626 365
1000 627 474
329 628 924
309 629 31
914 630 941
663 631 419
690 632 168
877 633 975
825 634 144
834 635 393
794 636 533
217 637 176
130 638 617
303 639 981
78 640 36
294 641 931
220 642 403
16 643 631
456 644 422
686 645 576
396 646 174
580 647 325
698 648 430
309 649 646
388 650 623
66 651 512
557 652 229
258 653 461
743 654 372
433 655 250
474 656 801
597 657 503
946 658 980
18 659 483
287 660 502
440 661 62
166 662 417
217 663 854
172 664 67
767 665 461
309 666 886
800 667 17
487 668 69
193 669 985
979 670 541
634 671 772
248 672 235
911 673 724
434 674 387
936 675 530
725 677 775
327 678 493
554 679 547
218 680 152
183 681 649
985 682 214
135 683 529
437 684 781
409 685 200
172 686 975
974 687 855
898 688 330
296 689 631
752 690 584
280 691 221
230 692 734
51 693 450
510 694 753
859 695 514
532 696 366
560 697 880
2 698 888
1 699 575
457 700 219
789 701 878
75 702 830
985 703 908
10 704 602
436 705 472
793 706 185
610 707 983
702 708 285
118 709 797
476 710 571
121 711 349
680 712 320
859 713 204
898 714 953
850 715 257
829 716 765
159 717 944
43 718 986
16 719 936
731 720 228
234 721 968
529 722 304
403 723 323
318 724 977
74 725 921
689 726 567
581 727 94
45 728 205
337 729 771
390 730 559
952 731 739
473 732 669
100 733 985
425 734 388
217 735 212
221 736 807
730 737 589
509 738 651
142 739 475
549 740 398
951 741 14
487 742 223
718 743 90
426 744 581
202 745 850
566 746 442
901 747 130
468 748 419
793 749 20
279 750 85
2 751 322
580 752 564
401 753 253
944 754 631
907 755 137
60 756 991
786 757 676
280 758 504
878 759 291
767 760 892
766 761 237
981 762 951
937 763 860
354 764 993
644 765 817
641 766 409
947 767 218
257 768 76
718 769 469
449 770 401
125 771 409
910 772 583
20 773 42
681 774 302
839 775 371
951 776 238
403 777 80
616 778 265
301 779 458
969 780 756
569 781 843
873 782 173
126 783 126
43 784 266
430 785 826
827 786 262
216 787 110
519 788 858
850 789 185
776 790 846
939 791 191
933 792 871
294 793 296
71 794 639
59 795 801
515 796 763
179 797 980
287 798 614
1 799 291
224 800 106
134 801 24
288 802 688
78 803 185
548 804 848
3 805 476
628 806 107
299 807 908
549 808 746
397 809 259
195 810 195
183 811 978
270 812 604
939 813 980
718 814 792
127 815 965
947 816 729
916 817 355
301 818 999
879 819 878
872 820 581
760 821 509
426 822 179
402 823 222
51 824 393
827 825 948
248 826 64
680 827 703
884 828 418
580 829 326
307 830 153
902 831 269
203 832 504
822 833 105
440 834 84
207 835 611
921 836 391
522 837 915
179 838 122
767 839 52
905 840 84
742 841 314
874 842 190
79 843 598
155 844 630
363 845 881
749 846 376
176 847 414
239 848 490
26 849 249
409 850 769
759 851 24
546 852 976
178 853 66
954 854 764
673 855 273
689 856 937
437 857 611
902 858 603
771 859 632
294 860 590
35 861 253
604 862 382
91 863 577
474 864 696
548 865 571
101 866 259
331 867 692
947 868 253
584 869 113
138 870 174
349 871 14
641 872 981
90 873 771
138 874 18
893 875 865
706 876 680
127 877 311
478 878 263
336 879 179
226 880 90
873 881 889
934 882 869
270 883 527
523 884 973
257 885 581
693 886 475
124 887 23
217 888 435
83 889 364
969 890 227
171 891 747
427 892 65
927 893 192
462 894 184
684 895 236
478 896 10
769 897 659
60 898 775
783 899 711
446 900 617
57 901 229
280 902 23
178 903 127
42 904 949
98 905 639
229 906 451
593 907 22
786 908 780
297 909 63
676 910 817
641 911 923
844 912 115
16 913 538
50 914 838
767 915 604
626 916 366
866 917 271
207 918 878
534 919 568
658 920 714
941 921 333
307 922 475
155 923 581
828 924 731
891 925 127
634 926 905
947 927 24
310 928 291
462 929 115
816 930 215
278 931 224
919 932 434
51 933 641
497 934 626
911 935 807
913 936 241
21 937 243
742 938 590
933 939 440
893 940 296
718 941 116
68 942 45
368 943 631
821 944 836
2 945 447
125 946 66
910 947 205
474 948 685
467 949 472
821 950 920
491 951 177
2 952 854
589 953 786
147 954 142
614 955 389
870 956 888
830 957 147
997 958 634
77 959 925
619 960 42
152 961 96
191 962 998
933 963 752
462 964 559
148 965 328
589 966 736
917 967 288
917 968 559
167 969 356
649 970 201
625 971 975
327 972 243
222 973 320
811 974 103
529 975 46
376 976 379
526 977 231
915 978 673
767 979 754
228 980 257
985 981 468
482 982 995
540 983 303
102 984 740
893 985 835
918 986 930
812 987 91
252 988 109
642 989 933
898 990 49
981 991 76
515 992 858
550 993 632
902 994 291
320 995 859
946 996 406
514 997 490
545 998 514
43 999 20
216 1000 981
772 824 345
